name,cc_fips
AIESEC PFORZHEIM (CLOSED),GM
AIESEC WERNIGERODE (CLOSED),GM
AIESEC LUENEBURG,GM
AIESEC BREMEN,GM
AIESEC BERLIN FU (CLOSED),GM
AIESEC CHEMNITZ (CLOSED),GM
AIESEC BRAUNSCHWEIG,GM
AIESEC MANNHEIM,GM
AIESEC ESSEN,GM
AIESEC HAMBURG,GM
AIESEC HALLE,GM
AIESEC TUEBINGEN-REUTLINGEN,GM
AIESEC BOCHUM,GM
AIESEC DUESSELDORF,GM
AIESEC JENA,GM
AIESEC WUPPERTAL,GM
AIESEC ULM,GM
AIESEC BAMBERG,GM
AIESEC TRIER (CLOSED),GM
AIESEC MUENCHEN,GM
AIESEC KARLSRUHE,GM
AIESEC AACHEN,GM
AIESEC WORMS (CLOSED),GM
AIESEC REGENSBURG,GM
AIESEC LEIPZIG,GM
AIESEC PADERBORN,GM
AIESEC KASSEL (CLOSED),GM
AIESEC GOETTINGEN,GM
AIESEC DARMSTADT,GM
AIESEC KOBLENZ (CLOSED),GM
AIESEC GIESSEN,GM
AIESEC HEILBRONN (CLOSED),GM
AIESEC BERLIN HU,GM
AIESEC SAARBRUECKEN (CLOSED),GM
AIESEC GREIFSWALD (CLOSED),GM
AIESEC VILLINGEN - SCHWENNINGEN (CLOSED),GM
AIESEC NUERNBERG,GM
AIESEC WUERZBURG,GM
AIESEC BONN,GM
AIESEC ULM (CLOSED),GM
AIESEC HEIDELBERG,GM
AIESEC OLDENBURG,GM
AIESEC DORTMUND,GM
AIESEC FRANKFURT (ODER) (CLOSED),GM
AIESEC BERLIN TU,GM
AIESEC FREIBURG (CLOSED),GM
AIESEC PASSAU,GM
AIESEC BIELEFELD,GM
AIESEC FREIBURG,GM
AIESEC DUISBURG (CLOSED),GM
AIESEC KOELN,GM
AIESEC DRESDEN,GM
AIESEC MAINZ-WIESBADEN (CLOSED),GM
AIESEC OSNABRUECK (CLOSED),GM
AIESEC KIEL,GM
AIESEC AUGSBURG,GM
AIESEC MARBURG (CLOSED),GM
AIESEC UDS,GH
AIESEC KNUST,GH
AIESEC CUCG,GH
AIESEC KUMASI (CLOSED),GH
AIESEC CUC,GH
AIESEC CAPE COAST (CLOSED),GH
AIESEC UCC,GH
AIESEC LEGON,GH
AIESEC UNIVERSITY OF PATRAS,GR
AIESEC UNIVERSITY OF AEGEAN,GR
AIESEC NKUA,GR
AIESEC PANTEION (CLOSED),GR
AIESEC UOM THESSALONIKI,GR
AIESEC ATHENS,GR
AIESEC UNIPI,GR
AIESEC AUTH,GR
AIESEC UFM,GT
AIESEC XELA,GT
AIESEC USAC,GT
AIESEC UVG,GT
AIESEC LANDIVAR (CLOSED),GT
AIESEC URL,GT
